epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.541,0.5854,0.49516,1.01494,0.99989,1,0.995,0.93454,0.36081,0.25607,0.84556,0.000332667,0.000332667,0.067066
2,101.082,0.50091,0.35536,0.96204,0.99885,1,0.99498,0.9249,0.38018,0.27736,0.85668,0.000665837,0.000665837,0.0340658
3,143.72,0.47519,0.33554,0.94931,0.98131,0.995,0.99444,0.93968,0.35714,0.25153,0.83508,0.000998357,0.000998357,0.00106502
4,188.222,0.45231,0.308,0.94084,0.98708,0.99344,0.99483,0.95264,0.32319,0.22097,0.83939,0.000997803,0.000997803,0.000997803
5,228.57,0.42968,0.29393,0.93072,0.99993,1,0.995,0.95781,0.31521,0.19083,0.81699,0.000996097,0.000996097,0.000996097
6,267.224,0.41236,0.2851,0.926,0.99989,1,0.995,0.96608,0.2738,0.17356,0.8191,0.000993906,0.000993906,0.000993906
7,305.848,0.39872,0.27305,0.92471,0.99993,1,0.995,0.97493,0.23842,0.16134,0.79594,0.000991232,0.000991232,0.000991232
8,344.414,0.39013,0.2638,0.91823,0.99993,1,0.995,0.97909,0.22708,0.15454,0.79349,0.000988079,0.000988079,0.000988079
9,382.976,0.38046,0.25964,0.91452,0.99992,1,0.995,0.97845,0.23972,0.16225,0.7953,0.000984449,0.000984449,0.000984449
10,421.514,0.3705,0.2495,0.90955,0.99994,1,0.995,0.97497,0.24599,0.15438,0.79947,0.000980345,0.000980345,0.000980345
11,460.055,0.36317,0.24453,0.90929,0.99988,1,0.995,0.9798,0.22886,0.14293,0.80346,0.000975773,0.000975773,0.000975773
12,498.622,0.36059,0.24264,0.90659,0.99994,1,0.995,0.98109,0.22568,0.14981,0.78814,0.000970736,0.000970736,0.000970736
13,537.159,0.35566,0.23814,0.90539,0.99983,1,0.995,0.9831,0.21319,0.14006,0.79222,0.000965239,0.000965239,0.000965239
14,575.746,0.35219,0.2381,0.90537,0.9999,1,0.995,0.9817,0.21212,0.13209,0.78967,0.000959289,0.000959289,0.000959289
15,614.237,0.34892,0.23348,0.90196,0.99989,1,0.995,0.98083,0.21279,0.13759,0.78828,0.000952889,0.000952889,0.000952889
16,652.786,0.34229,0.22755,0.90175,0.99978,1,0.995,0.98113,0.21639,0.13066,0.78722,0.000946048,0.000946048,0.000946048
17,691.32,0.34013,0.22316,0.89712,0.99993,1,0.995,0.98319,0.20082,0.12542,0.78415,0.000938772,0.000938772,0.000938772
18,729.881,0.33805,0.22593,0.90026,0.99992,1,0.995,0.98239,0.20233,0.12734,0.78601,0.000931067,0.000931067,0.000931067
19,768.444,0.33023,0.2201,0.89685,0.99991,1,0.995,0.98361,0.19296,0.11547,0.78225,0.000922942,0.000922942,0.000922942
20,806.985,0.33475,0.22137,0.89946,0.99992,1,0.995,0.98476,0.18361,0.12198,0.7789,0.000914405,0.000914405,0.000914405
21,845.513,0.32286,0.21693,0.89222,0.99994,1,0.995,0.98412,0.18851,0.11811,0.78121,0.000905463,0.000905463,0.000905463
22,884.078,0.32246,0.21495,0.89428,0.99994,1,0.995,0.98328,0.18264,0.1184,0.78123,0.000896127,0.000896127,0.000896127
23,922.607,0.3234,0.21707,0.89578,0.9999,1,0.995,0.9833,0.18527,0.12025,0.77937,0.000886404,0.000886404,0.000886404
24,961.121,0.31804,0.20916,0.89274,0.99978,1,0.995,0.98095,0.18776,0.12123,0.78413,0.000876305,0.000876305,0.000876305
25,999.64,0.31252,0.20785,0.89022,0.99994,1,0.995,0.98466,0.18066,0.11373,0.77936,0.000865839,0.000865839,0.000865839
26,1038.2,0.31284,0.20788,0.8909,0.99993,1,0.995,0.98471,0.18045,0.11303,0.7796,0.000855018,0.000855018,0.000855018
27,1076.72,0.30597,0.20485,0.88903,0.99992,1,0.995,0.98447,0.1758,0.11395,0.77741,0.000843851,0.000843851,0.000843851
28,1115.16,0.31243,0.20835,0.89272,0.99994,1,0.995,0.98473,0.17598,0.10326,0.77899,0.000832349,0.000832349,0.000832349
29,1153.7,0.30153,0.202,0.88748,0.9999,1,0.995,0.98611,0.17414,0.10382,0.77796,0.000820525,0.000820525,0.000820525
30,1192.18,0.29787,0.19552,0.88507,0.99994,1,0.995,0.98633,0.16925,0.10178,0.77685,0.000808389,0.000808389,0.000808389
31,1230.73,0.29511,0.19555,0.88235,0.99988,1,0.995,0.98437,0.18055,0.11112,0.78004,0.000795954,0.000795954,0.000795954
32,1269.28,0.30771,0.20307,0.88876,0.99994,1,0.995,0.98601,0.16844,0.10469,0.77525,0.000783231,0.000783231,0.000783231
33,1307.75,0.2983,0.19635,0.88698,0.99994,1,0.995,0.98594,0.16898,0.10412,0.77768,0.000770234,0.000770234,0.000770234
34,1346.05,0.30024,0.19843,0.88701,0.99994,1,0.995,0.98534,0.1644,0.09785,0.77539,0.000756976,0.000756976,0.000756976
35,1384.68,0.29883,0.19368,0.8894,0.99992,1,0.995,0.98298,0.17414,0.10108,0.78082,0.000743468,0.000743468,0.000743468
36,1423.2,0.29695,0.19399,0.88616,0.99994,1,0.995,0.98299,0.16513,0.10026,0.77575,0.000729725,0.000729725,0.000729725
37,1461.79,0.28774,0.18851,0.8854,0.99994,1,0.995,0.98353,0.15991,0.0931,0.77401,0.000715761,0.000715761,0.000715761
38,1500.36,0.29068,0.18922,0.88376,0.99994,1,0.995,0.98544,0.16054,0.09467,0.77624,0.000701588,0.000701588,0.000701588
39,1538.9,0.28411,0.18572,0.88038,0.99994,1,0.995,0.98546,0.16074,0.09783,0.77443,0.000687222,0.000687222,0.000687222
40,1577.45,0.28574,0.18783,0.88246,0.99994,1,0.995,0.98575,0.15793,0.09543,0.77286,0.000672675,0.000672675,0.000672675
41,1615.97,0.2768,0.18265,0.8791,0.99994,1,0.995,0.98616,0.15611,0.09375,0.77335,0.000657963,0.000657963,0.000657963
42,1654.57,0.28022,0.18152,0.87806,0.99994,1,0.995,0.98562,0.15809,0.09307,0.77433,0.000643101,0.000643101,0.000643101
43,1693.17,0.28005,0.18376,0.87704,0.99994,1,0.995,0.98599,0.15594,0.09352,0.77307,0.000628101,0.000628101,0.000628101
44,1731.75,0.28228,0.18318,0.88179,0.99994,1,0.995,0.9863,0.15442,0.09038,0.77371,0.000612981,0.000612981,0.000612981
45,1770.27,0.27585,0.17721,0.87848,0.99994,1,0.995,0.98602,0.15417,0.08753,0.77312,0.000597754,0.000597754,0.000597754
46,1808.83,0.27961,0.18055,0.87803,0.99994,1,0.995,0.98657,0.15434,0.08873,0.77316,0.000582435,0.000582435,0.000582435
47,1847.43,0.26947,0.17686,0.87682,0.99994,1,0.995,0.98681,0.15391,0.08834,0.77265,0.00056704,0.00056704,0.00056704
48,1885.97,0.27486,0.17695,0.87827,0.99994,1,0.995,0.98707,0.15243,0.08729,0.77212,0.000551584,0.000551584,0.000551584
49,1924.47,0.27305,0.17681,0.87832,0.99994,1,0.995,0.98674,0.15227,0.08605,0.77214,0.000536081,0.000536081,0.000536081
50,1962.97,0.26785,0.17238,0.87575,0.99994,1,0.995,0.9865,0.15133,0.08688,0.77246,0.000520548,0.000520548,0.000520548
51,2001.44,0.26729,0.17359,0.87487,0.99995,1,0.995,0.98717,0.14831,0.0834,0.77081,0.000505,0.000505,0.000505
