epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,217.023,0.52471,0.2295,0.0124,0.48017,1.48465,1,0.98782,0.99495,0.97805,1,0.98782,0.99495,0.96874,0.30449,0.15479,0.00013,0.2002,0.98628,0.000333,0.000333,0.067033
2,413.959,0.26378,0.13122,7e-05,0.17354,1.06113,0.99887,1,0.995,0.94864,0.99887,1,0.995,0.97491,0.33565,0.15397,5e-05,0.18035,1.05421,0.000666171,0.000666171,0.0340328
3,607.126,0.2236,0.0873,3e-05,0.15074,0.9912,0.99874,1,0.995,0.96434,0.99874,1,0.995,0.99114,0.34702,0.06161,2e-05,0.18034,1.18823,0.00099869,0.00099869,0.00103202
4,797.756,0.19969,0.05229,1e-05,0.13624,0.94794,0.99309,0.998,0.995,0.96627,0.99309,0.998,0.995,0.99196,0.3438,0.05768,1e-05,0.17787,1.15385,0.000997803,0.000997803,0.000997803
5,901.306,0.19078,0.03964,1e-05,0.13451,0.92992,0.99991,1,0.995,0.93604,0.99991,1,0.995,0.993,0.40421,0.04192,1e-05,0.19792,1.44395,0.000996097,0.000996097,0.000996097
6,990.891,0.17933,0.03223,1e-05,0.12486,0.91461,0.99972,1,0.995,0.97707,0.99972,1,0.995,0.99414,0.31906,0.03346,1e-05,0.16143,1.07893,0.000993906,0.000993906,0.000993906
7,1080.2,0.17517,0.0282,1e-05,0.12232,0.90144,0.99984,1,0.995,0.97012,0.99984,1,0.995,0.99453,0.34809,0.03084,1e-05,0.15647,1.20423,0.000991232,0.000991232,0.000991232
8,1168.96,0.16618,0.02306,0,0.11464,0.89498,0.9989,1,0.995,0.96756,0.9989,1,0.995,0.99241,0.31403,0.05302,0,0.15654,1.12492,0.000988079,0.000988079,0.000988079
9,1257.49,0.16698,0.0229,0,0.11982,0.88585,0.99993,1,0.995,0.91872,0.99993,1,0.995,0.9945,0.41924,0.02271,0,0.18997,1.42399,0.000984449,0.000984449,0.000984449
10,1346.06,0.16056,0.02685,0,0.11388,0.88226,0.99994,1,0.995,0.95167,0.99994,1,0.995,0.99364,0.3796,0.02977,0,0.16609,1.24745,0.000980345,0.000980345,0.000980345
11,1434.7,0.15364,0.02133,0,0.10993,0.87693,0.99994,1,0.995,0.96861,0.99994,1,0.995,0.99436,0.3556,0.02868,0,0.16353,1.22339,0.000975773,0.000975773,0.000975773
12,1523.29,0.15536,0.01995,0,0.11219,0.87314,0.99994,1,0.995,0.9329,0.99994,1,0.995,0.99314,0.37753,0.02942,0,0.16784,1.372,0.000970736,0.000970736,0.000970736
13,1611.85,0.15256,0.02455,0,0.11329,0.87395,0.99994,1,0.995,0.9614,0.99994,1,0.995,0.99429,0.37006,0.0249,0,0.16072,1.334,0.000965239,0.000965239,0.000965239
14,1700.5,0.15092,0.01845,0,0.11112,0.86182,0.99995,1,0.995,0.95987,0.99995,1,0.995,0.99486,0.36108,0.02006,0,0.15314,1.28438,0.000959289,0.000959289,0.000959289
15,1789.01,0.15283,0.01865,0,0.10946,0.86409,0.99994,1,0.995,0.97502,0.99994,1,0.995,0.9938,0.35158,0.02649,0,0.1614,1.23212,0.000952889,0.000952889,0.000952889
16,1877.54,0.14368,0.0182,0,0.10157,0.85947,0.99995,1,0.995,0.94182,0.99995,1,0.995,0.99425,0.38102,0.02277,0,0.1622,1.38932,0.000946048,0.000946048,0.000946048
17,1966.05,0.14422,0.0164,0,0.10435,0.85871,1,1,0.995,0.96955,1,1,0.995,0.99476,0.35485,0.02178,0,0.15227,1.26939,0.000938772,0.000938772,0.000938772
18,2054.58,0.14719,0.0159,0,0.1064,0.85647,0.99994,1,0.995,0.94034,0.99994,1,0.995,0.99484,0.37835,0.01926,0,0.15989,1.38898,0.000931067,0.000931067,0.000931067
19,2143.12,0.14231,0.01831,0,0.10303,0.85431,0.99995,1,0.995,0.94382,0.99995,1,0.995,0.99453,0.37969,0.0417,0,0.16421,1.36232,0.000922942,0.000922942,0.000922942
20,2231.76,0.14055,0.01592,0,0.09979,0.85294,0.99994,1,0.995,0.94274,0.99994,1,0.995,0.99491,0.37954,0.01613,0,0.15748,1.3578,0.000914405,0.000914405,0.000914405
21,2320.38,0.13568,0.01505,0,0.09623,0.85098,0.99788,1,0.995,0.96963,0.99788,1,0.995,0.99481,0.34668,0.0167,0,0.15221,1.25617,0.000905463,0.000905463,0.000905463
22,2409.06,0.13544,0.01419,0,0.09756,0.84421,0.99987,1,0.995,0.93175,0.99987,1,0.995,0.9929,0.387,0.02991,0,0.15767,1.46881,0.000896127,0.000896127,0.000896127
23,2497.72,0.13964,0.01375,0,0.09784,0.85071,0.99993,1,0.995,0.94839,0.99993,1,0.995,0.99415,0.37439,0.02055,0,0.14847,1.29965,0.000886404,0.000886404,0.000886404
24,2586.39,0.13068,0.0126,0,0.09473,0.84203,0.99994,1,0.995,0.95808,0.99994,1,0.995,0.99463,0.3554,0.01719,0,0.14982,1.22723,0.000876305,0.000876305,0.000876305
25,2675.03,0.13315,0.01439,0,0.0949,0.84286,0.99995,1,0.995,0.93532,0.99995,1,0.995,0.99487,0.38969,0.01452,0,0.17606,1.48384,0.000865839,0.000865839,0.000865839
26,2763.65,0.13478,0.01434,0,0.09526,0.84948,0.99994,1,0.995,0.91539,0.99994,1,0.995,0.99467,0.4089,0.0143,0,0.16479,1.53909,0.000855018,0.000855018,0.000855018
27,2852.25,0.12607,0.01192,0,0.08957,0.83699,0.99994,1,0.995,0.92362,0.99994,1,0.995,0.99442,0.38216,0.01654,0,0.15861,1.39507,0.000843851,0.000843851,0.000843851
28,2940.85,0.12699,0.01317,0,0.09196,0.83721,0.99994,1,0.995,0.93606,0.99994,1,0.995,0.99403,0.38397,0.02285,0,0.16688,1.45323,0.000832349,0.000832349,0.000832349
29,3029.32,0.12781,0.01241,0,0.09136,0.83997,0.99994,1,0.995,0.94386,0.99994,1,0.995,0.99499,0.37784,0.01265,0,0.15816,1.38591,0.000820525,0.000820525,0.000820525
30,3117.86,0.12844,0.01087,0,0.09556,0.83827,0.99994,1,0.995,0.96268,0.99994,1,0.995,0.99497,0.35728,0.01214,0,0.15135,1.26584,0.000808389,0.000808389,0.000808389
31,3206.31,0.12239,0.01153,0,0.08918,0.83183,0.99995,1,0.995,0.92805,0.99995,1,0.995,0.9948,0.3999,0.0171,0,0.18668,1.39907,0.000795954,0.000795954,0.000795954
32,3294.8,0.1237,0.01022,0,0.09087,0.83308,0.99995,1,0.995,0.93899,0.99995,1,0.995,0.99474,0.37914,0.01371,0,0.1537,1.34401,0.000783231,0.000783231,0.000783231
33,3383.28,0.12597,0.01045,0,0.09381,0.83066,1,1,0.995,0.94334,1,1,0.995,0.99454,0.36846,0.01403,0,0.15971,1.4028,0.000770234,0.000770234,0.000770234
