epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,69.584,1.32017,1.37945,1.23974,1.12246,0,0.84243,0.68528,0.78422,0.50598,0.32319,0.32092,0.1532,0.02663,1.24044,1.78612,1.00006,1.12724,0,0.000332667,0.000332667,0.067066
2,128.99,1.2518,1.25582,0.97706,1.09722,0,0.82198,0.70213,0.77438,0.5136,0.75789,0.64096,0.65468,0.23407,1.17894,1.17694,1.22178,1.12445,0,0.000665837,0.000665837,0.0340658
3,187.455,1.1946,1.19708,0.90138,1.08305,0,0.66432,0.58422,0.6506,0.40025,0.65974,0.53546,0.58774,0.21158,1.32639,1.05011,1.40229,1.18409,0,0.000998357,0.000998357,0.00106502
4,245.056,1.17524,1.14939,0.86803,1.07585,0,0.837,0.71011,0.80131,0.55068,0.81236,0.67551,0.73451,0.27934,1.09727,1.03833,0.89798,1.08531,0,0.000997803,0.000997803,0.000997803
5,302.656,1.11599,1.14095,0.81372,1.05947,0,0.84735,0.7283,0.81957,0.57359,0.81842,0.66578,0.71728,0.28587,1.11002,1.02625,0.83554,1.09776,0,0.000996097,0.000996097,0.000996097
6,360.205,1.0958,1.11217,0.7824,1.05515,0,0.87846,0.70922,0.82564,0.57102,0.82713,0.6445,0.71579,0.2786,1.1214,1.01645,0.85513,1.10009,0,0.000993906,0.000993906,0.000993906
7,417.689,1.07023,1.09478,0.76808,1.0454,0,0.87633,0.74129,0.83365,0.57334,0.80412,0.68057,0.71709,0.26875,1.08395,1.05895,0.85465,1.08523,0,0.000991232,0.000991232,0.000991232
8,475.309,1.0471,1.08016,0.74888,1.03699,0,0.86862,0.74202,0.82841,0.5799,0.80894,0.6794,0.70719,0.24815,1.06381,1.01467,0.83979,1.08557,0,0.000988079,0.000988079,0.000988079
9,533.324,1.05129,1.06815,0.74474,1.03698,0,0.8878,0.76596,0.84834,0.59706,0.82304,0.68085,0.72821,0.29224,1.03771,0.98309,0.78524,1.06643,0,0.000984449,0.000984449,0.000984449
10,591.217,1.03479,1.05901,0.73034,1.0292,0,0.82844,0.71492,0.80764,0.55889,0.81715,0.62992,0.689,0.23022,1.09893,1.07947,0.88249,1.08788,0,0.000980345,0.000980345,0.000980345
11,648.903,1.0124,1.04462,0.71589,1.02491,0,0.9138,0.74241,0.85871,0.6104,0.86825,0.71809,0.78604,0.35822,1.02861,0.91384,0.74139,1.05584,0,0.000975773,0.000975773,0.000975773
12,706.539,1.00667,1.0409,0.70214,1.01795,0,0.87368,0.77482,0.84222,0.57906,0.82657,0.72872,0.76224,0.30313,1.06424,1.03118,0.76291,1.09959,0,0.000970736,0.000970736,0.000970736
13,764.009,0.99013,1.00968,0.68982,1.01602,0,0.88068,0.76418,0.84239,0.60574,0.84366,0.69845,0.75037,0.28507,0.99603,0.96318,0.76881,1.05098,0,0.000965239,0.000965239,0.000965239
14,821.505,0.97444,1.03691,0.68494,1.01162,0,0.87864,0.70833,0.82411,0.57883,0.84839,0.67553,0.75131,0.29121,1.07236,0.95319,0.84228,1.08615,0,0.000959289,0.000959289,0.000959289
15,879.091,0.97573,1.02429,0.67191,1.01353,0,0.89153,0.76862,0.85273,0.61667,0.85589,0.74468,0.79993,0.35473,0.96509,0.88217,0.72549,1.04046,0,0.000952889,0.000952889,0.000952889
16,936.649,0.97205,1.00722,0.66818,1.01357,0,0.86931,0.79078,0.85649,0.61689,0.82395,0.73582,0.77147,0.32061,1.01306,0.90141,0.75046,1.05663,0,0.000946048,0.000946048,0.000946048
17,994.185,0.96285,1.01807,0.67194,1.00927,0,0.86572,0.77571,0.85648,0.60816,0.83719,0.7367,0.78291,0.34944,0.97676,0.91752,0.74075,1.04463,0,0.000938772,0.000938772,0.000938772
18,1051.65,0.95395,1.00273,0.66433,1.00475,0,0.89103,0.79699,0.87235,0.63199,0.84803,0.74645,0.79015,0.35726,0.96266,0.84791,0.67721,1.04076,0,0.000931067,0.000931067,0.000931067
19,1109.23,0.94223,0.9944,0.64688,0.99855,0,0.89965,0.75503,0.85932,0.63228,0.86797,0.70656,0.77145,0.32094,0.94035,0.90362,0.72219,1.03629,0,0.000922942,0.000922942,0.000922942
20,1166.48,0.9492,0.9918,0.65289,1.00507,0,0.89027,0.79115,0.87253,0.64707,0.86277,0.75089,0.79018,0.3475,0.91733,0.87132,0.69804,1.02558,0,0.000914405,0.000914405,0.000914405
21,1223.61,0.941,0.98299,0.65285,1.00068,0,0.88432,0.74549,0.85196,0.62168,0.838,0.70162,0.76384,0.32506,1.01752,0.89503,0.74415,1.06764,0,0.000905463,0.000905463,0.000905463
22,1280.68,0.92541,0.98614,0.63895,0.99286,0,0.87773,0.80674,0.8756,0.64526,0.83222,0.71897,0.75854,0.32869,0.93187,0.93562,0.66038,1.03616,0,0.000896127,0.000896127,0.000896127
23,1337.93,0.92816,0.96768,0.63447,0.99435,0,0.89512,0.80142,0.87681,0.64647,0.85496,0.74729,0.7965,0.36762,0.94091,0.8647,0.66478,1.03074,0,0.000886404,0.000886404,0.000886404
24,1399.02,0.9093,0.97674,0.62366,0.989,0,0.86144,0.78812,0.86238,0.6302,0.85421,0.7324,0.79057,0.34739,1.01073,0.85535,0.70595,1.0679,0,0.000876305,0.000876305,0.000876305
25,1462.84,0.91476,0.94896,0.62394,0.99754,0,0.8899,0.80973,0.88387,0.65434,0.88123,0.73759,0.79617,0.34593,0.91074,0.8764,0.65901,1.02719,0,0.000865839,0.000865839,0.000865839
26,1524.06,0.91498,0.97332,0.62645,0.98744,0,0.9001,0.78723,0.87763,0.65209,0.8437,0.71897,0.77369,0.33441,0.91663,0.87602,0.65631,1.03672,0,0.000855018,0.000855018,0.000855018
27,1586.78,0.8959,0.95338,0.61123,0.98579,0,0.90972,0.79509,0.87756,0.65184,0.86994,0.73848,0.79926,0.36596,0.9031,0.8492,0.64982,1.02549,0,0.000843851,0.000843851,0.000843851
