epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.2855,0.7573,1.44321,0.53471,0.56337,1.3051,0.99587,0.96418,0.99128,0.79173,0.99097,0.98765,0.99477,0.57518,0.85908,1.63929,0.14933,0.41223,1.49697,0.000332572,0.000332572,0.0670753
2,77.0992,0.71795,1.21436,0.39149,0.53337,1.267,0.97687,0.956,0.98557,0.76175,0.97872,0.976,0.99249,0.53931,0.90284,1.67747,0.06144,0.49289,1.56111,0.000665743,0.000665743,0.0340752
3,112.112,0.68845,1.15507,0.35682,0.50168,1.24514,0.97587,0.93021,0.98568,0.77819,0.97287,0.942,0.98982,0.55614,0.86202,1.61999,0.02224,0.43201,1.49194,0.000998263,0.000998263,0.00107437
4,146.835,0.67292,1.13464,0.33394,0.49005,1.22507,0.98367,0.96398,0.98722,0.7734,0.988,0.98787,0.9947,0.55031,0.8735,1.62616,0.03478,0.35964,1.55655,0.000997803,0.000997803,0.000997803
5,181.545,0.6598,1.09845,0.32094,0.48508,1.21808,0.9846,0.95892,0.99175,0.7812,0.98416,0.977,0.9942,0.54198,0.87296,1.68349,0.01067,0.37666,1.49981,0.000996097,0.000996097,0.000996097
6,216.234,0.64526,1.08769,0.3111,0.46811,1.19957,0.98499,0.958,0.98447,0.74568,0.98934,0.985,0.99468,0.54915,0.91769,1.64624,0.02418,0.37512,1.60216,0.000993906,0.000993906,0.000993906
7,250.903,0.63654,1.04688,0.31169,0.46441,1.19667,0.97636,0.965,0.98444,0.76564,0.98297,0.98126,0.99423,0.46276,0.91945,1.94982,0.02519,0.36871,1.57671,0.000991232,0.000991232,0.000991232
8,285.574,0.63058,0.95916,0.31581,0.45498,1.19503,0.98863,0.957,0.98519,0.76466,0.98596,0.98341,0.99471,0.61791,0.89302,1.41952,0.02165,0.37062,1.54706,0.000988079,0.000988079,0.000988079
9,320.28,0.63621,0.81415,0.30813,0.45785,1.19943,0.97115,0.954,0.97494,0.76913,0.9886,0.992,0.99487,0.61788,0.88369,1.51045,0.03688,0.35638,1.53218,0.000984449,0.000984449,0.000984449
10,354.994,0.61752,0.75107,0.30094,0.45345,1.18879,0.9805,0.95528,0.98421,0.74962,0.97709,0.98101,0.99203,0.56676,0.92858,1.7074,0.02772,0.39783,1.60629,0.000980345,0.000980345,0.000980345
11,389.629,0.62787,0.72085,0.2986,0.45516,1.19078,0.98362,0.96088,0.9828,0.76514,0.98955,0.99,0.9948,0.62592,0.92352,1.4656,0.02886,0.35469,1.64066,0.000975773,0.000975773,0.000975773
12,424.305,0.61622,0.65874,0.29137,0.44592,1.18361,0.97095,0.96929,0.97869,0.7462,0.99547,0.997,0.99498,0.60695,0.93039,1.54828,0.02405,0.35321,1.62397,0.000970736,0.000970736,0.000970736
13,458.98,0.61425,0.64808,0.28482,0.44541,1.18529,0.97925,0.972,0.98423,0.74069,0.99501,0.99769,0.99493,0.61604,0.94381,1.55596,0.02001,0.37652,1.61882,0.000965239,0.000965239,0.000965239
14,493.564,0.61322,0.62436,0.28299,0.44403,1.1768,0.95603,0.981,0.9854,0.7673,0.993,0.99272,0.99486,0.61447,0.91356,1.61885,0.0378,0.3489,1.57766,0.000959289,0.000959289,0.000959289
15,528.148,0.59926,0.61013,0.27354,0.43719,1.17298,0.9698,0.96353,0.97798,0.77756,0.98205,0.998,0.99473,0.61605,0.87401,1.61264,0.02384,0.33979,1.53941,0.000952889,0.000952889,0.000952889
16,562.782,0.60995,0.56786,0.27097,0.43203,1.17734,0.97742,0.973,0.97775,0.75678,0.99499,0.99345,0.99492,0.60659,0.92497,1.60675,0.01716,0.34997,1.64475,0.000946048,0.000946048,0.000946048
